,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.26666666666666666,0.06666666666666667,0.0,0.0
orthorhombic,0.08205128205128205,0.47692307692307695,0.0,0.005128205128205128
tetragonal,0.020512820512820513,0.02564102564102564,0.0,0.0
rhombohedral,0.0,0.041025641025641026,0.005128205128205128,0.010256410256410256
