,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.3128205128205128,0.08205128205128205,0.005128205128205128,0.0
orthorhombic,0.08717948717948718,0.4256410256410256,0.0,0.0
tetragonal,0.010256410256410256,0.010256410256410256,0.0,0.0
rhombohedral,0.015384615384615385,0.041025641025641026,0.0,0.010256410256410256
