,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.3076923076923077,0.06666666666666667,0.0,0.0
orthorhombic,0.06666666666666667,0.46153846153846156,0.0,0.0
tetragonal,0.015384615384615385,0.010256410256410256,0.005128205128205128,0.005128205128205128
rhombohedral,0.015384615384615385,0.041025641025641026,0.0,0.005128205128205128
