,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.28205128205128205,0.06666666666666667,0.010256410256410256,0.005128205128205128
orthorhombic,0.07692307692307693,0.5025641025641026,0.0,0.0
tetragonal,0.005128205128205128,0.005128205128205128,0.0,0.0
rhombohedral,0.010256410256410256,0.02564102564102564,0.0,0.010256410256410256
