,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.3282051282051282,0.07179487179487179,0.0,0.0
orthorhombic,0.03076923076923077,0.48205128205128206,0.005128205128205128,0.005128205128205128
tetragonal,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.005128205128205128
rhombohedral,0.0,0.035897435897435895,0.0,0.010256410256410256
