,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.26666666666666666,0.09230769230769231,0.010256410256410256,0.0
orthorhombic,0.05128205128205128,0.46153846153846156,0.010256410256410256,0.015384615384615385
tetragonal,0.0,0.020512820512820513,0.0,0.0
rhombohedral,0.015384615384615385,0.046153846153846156,0.0,0.010256410256410256
