,cubic,orthorhombic,tetragonal,rhombohedral
cubic,0.3128205128205128,0.07692307692307693,0.0,0.0
orthorhombic,0.06666666666666667,0.46153846153846156,0.010256410256410256,0.005128205128205128
tetragonal,0.005128205128205128,0.005128205128205128,0.0,0.0
rhombohedral,0.020512820512820513,0.02564102564102564,0.0,0.010256410256410256
