,v(A),r(AXII)(Å),r(AVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),tG,τ,μ,Lowest distortion
0,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.7301587301587302,0.4949221007309563,0.6328554927551706,0.20652585366322151,0.5796276314854215,0.45000000105000004,rhombohedral
1,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.8412698412698416,0.4949221007309563,0.058835153017328334,0.44238551802154324,0.5921544190811072,0.07500000192500011,cubic
2,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.39682539682539697,0.4949221007309563,0.28199842458847524,0.3924387656963364,0.5796220753855962,0.15000000035000016,rhombohedral
3,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.6349206349206349,0.4949221007309563,0.32631404332457237,0.49384580600355976,0.6098652590724281,0.0,cubic
4,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.753968253968254,0.4949221007309563,0.44462801131860674,0.4593674128754883,0.597469816080439,0.050000002450000025,orthorhombic
5,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.31746031746031744,0.4949221007309563,0.28435861088835823,0.3924387656963364,0.5796220753855962,0.15000000035000016,rhombohedral
6,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,0.2222222222222221,0.4949221007309563,0.4068646050763527,0.20652585366322151,0.5796276314854215,0.45000000105000004,rhombohedral
7,0.0,0.3877551020408164,0.3142857142857143,0.7402597402597403,1.0,0.4949221007309563,0.0,0.4255717581723588,0.5874132688239988,0.10000000139999998,cubic
8,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.015873015873015928,0.6651297240627638,0.7041940945794423,0.4236829889036984,0.4738947598020302,0.7249999987750004,orthorhombic
9,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.5793650793650795,0.6651297240627638,0.3418656498580752,0.8989339668636398,0.5177926775625683,0.024999999474999868,cubic
10,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.15873015873015883,0.6651297240627638,0.3794158143487092,0.679810124342632,0.44777393553040157,0.32500000017499997,cubic
